[Name],,
BLD GEO HIGH,,
,,
[Data],,
Radius [ m ], theta [ degree ], X [ m ]
0.185406625,2.309414387,0.031364791
0.185380906,2.309920073,0.031371403
0.178128004,-6.712634563,0.000777984
0.178211197,-6.588952065,0.001166749
0.178327218,-6.417191505,0.001706666
0.178474247,-6.199648857,0.002383667
0.178648666,-5.941572189,0.003186752
0.178848013,-5.646325111,0.004092043
0.179087967,-5.31990099,0.005082808
0.179346457,-4.966599941,0.006149986
0.179624885,-4.593103409,0.007276644
0.179916948,-4.203238487,0.008453649
0.180229411,-3.800606251,0.009671315
0.18055509,-3.38469553,0.010931198
0.180904165,-2.956654072,0.012231337
0.181267679,-2.51309824,0.013575894
0.1816542,-2.058861494,0.014988085
0.182063177,-1.597710967,0.016474826
0.182488412,-1.133614779,0.018019171
0.182913736,-0.661370516,0.019608311
0.183306858,-0.178514197,0.021265615
0.183709145,0.301127762,0.022986159
0.184104577,0.765435696,0.024739759
0.184472084,1.209741116,0.026487151
0.18482472,1.617606759,0.028198848
0.185149372,1.983512521,0.029826917
0.185442299,2.308710337,0.031355623
0.178193301,-6.710973263,0.000780238
0.1782763,-6.587334633,0.001168914
0.178392023,-6.415643692,0.001708682
0.17853871,-6.198200226,0.002385469
0.178712741,-5.940248966,0.003188272
0.178911641,-5.645149708,0.004093225
0.179151088,-5.318893433,0.005083621
0.179408997,-4.965770245,0.006150382
0.179686829,-4.592458248,0.007276595
0.179978251,-4.202783108,0.00845314
0.180290028,-3.800340652,0.009670337
0.180615038,-3.384623528,0.01092974
0.180963367,-2.956775427,0.012229362
0.181326166,-2.513426065,0.01357338
0.181711853,-2.059386253,0.014984909
0.182120025,-1.598417997,0.016470874
0.182544395,-1.134493232,0.018014396
0.18296884,-0.662417471,0.019602677
0.183361128,-0.179719403,0.021258999
0.18376255,0.299804688,0.022978431
0.184157118,0.764031351,0.024730928
0.184523791,1.208333373,0.026477152
0.184875622,1.616281748,0.028187729
0.185199529,1.982326031,0.029814905
0.185491726,2.307730198,0.031342916
0.178283811,-6.708674431,0.00078337
0.178366542,-6.585097313,0.001171924
0.178481907,-6.41350174,0.001711484
0.178628132,-6.196195602,0.002387974
0.178801596,-5.938416481,0.003190385
0.178999886,-5.643522739,0.004094869
0.179238603,-5.31749773,0.005084754
0.179495722,-4.964624405,0.006150938
0.179772705,-4.591567993,0.007276532
