R,Rho,Trr,Trt,Trz,Ttt,Tzt,Tzz,Z,Lamda
0.242193013,1.0346005,80743.1094,3.84486151,-5451.77344,79970.2578,-27.5092106,118402.281,-0.000551516656,1
0.242825001,1.03569365,80902.4219,3.66552544,-5572.29297,80090,-25.6057549,118286.188,-0.000467657112,1
0.243456617,1.03679466,81067.4922,2.835042,-5689.73828,80214.8672,-19.586132,118161.844,-0.000381200458,1
0.244087428,1.03791547,81244.3906,0.539943457,-5801.23193,80351.4141,-4.42969418,118018.875,-0.000288993324,1
0.244717151,1.03904772,81428.1875,-2.6370914,-5908.87109,80494.4141,15.6167498,117866.125,-0.000193726111,1
0.245345026,1.04017735,81612.5313,-5.99437857,-6015.43164,80637.1406,35.7612724,117715.719,-9.87336098e-05,1
0.245975882,1.04132187,81799.3906,-9.43966675,-6121.64551,80781.1875,55.4345932,117564.852,-3.15671969e-06,1
0.246607825,1.04264486,81996.3203,-11.0264587,-6228.8291,80933.3594,63.3895569,117413.422,9.58951132e-05,1
0.247236848,1.04421198,82205.8281,-9.90664291,-6337.18164,81096.0078,55.3401184,117264.391,0.000199146671,1
0.247864574,1.04586196,82420.6094,-7.85970592,-6445.07275,81262.5781,42.352478,117116.523,0.000303688925,1
0.248492002,1.04753888,82639.4219,-5.92101288,-6549.09717,81432.8828,30.5613098,116965.578,0.000411036657,1
0.249121025,1.04926562,82864.875,-4.287817,-6647.0957,81610.1563,20.9591885,116807.797,0.000523967552,1
0.249748588,1.05103111,83095.5156,-2.85342407,-6740.71191,81792.5625,12.8261518,116646.875,0.00063910411,1
0.250373483,1.05282271,83329.8359,-1.37120795,-6831.10059,81978.1719,4.83282185,116481.648,0.000753813307,1
0.250996321,1.05463147,83566.6406,0.169204533,-6917.99463,82165.9609,-3.07330132,116313.531,0.000872853445,1
0.251623869,1.05644572,83805.0938,1.7429955,-7002.52539,82354.8438,-10.8158674,116143.984,0.000999965938,1
0.252252728,1.05794215,84033.1719,3.68070674,-7056.03467,82539.6484,-19.8678246,115849.297,0.00112959638,1
0.252877206,1.05195594,84052.7031,7.23583078,-6245.00537,82706.2578,-35.7615166,111637.305,0.00125825847,1
0.253189594,1.04537976,83963.7969,9.67678165,-5422.40137,82782.6406,-46.5834465,107633.836,0.00132268958,1
0.178503916,0.988256037,81315.5859,2351.55225,5770.79736,91222.2422,11591.084,107035.633,0.00139144494,0.953248683122979
0.178815901,1.00228369,81410.0469,1531.89392,6796.05713,86755,7694.47363,112015.344,0.00132876122,0.95516937705615
0.179441661,1.0185461,81305.5391,572.299377,7969.52734,81868.5156,2834.03833,118051.984,0.00120284408,0.958071603660097
0.180067033,1.01763213,80716.5234,467.538391,7988.28418,81209.5469,1729.59277,118986.578,0.00107722695,0.961880194353331
0.180689692,1.01070571,79894.1563,521.719727,7697.32666,80635.6719,1435.5835,118647.953,0.000954041956,0.966753052037753
0.18131271,1.00359654,79072.4219,545.77948,7382.95898,79991.5938,1133.53394,118258.008,0.000835971558,0.97180832561833
0.181938946,0.997553051,78360.1172,549.778931,7081.29199,79400.0781,840.65918,117943.422,0.000722582336,0.977951555444289
0.182568252,0.993848383,77910.25,540.827454,6780.2998,78937.6094,537.204712,117698.422,0.000611509371,0.984415249429205
0.183195323,0.995759904,78082.3594,558.084961,6467.43701,79068.875,265.769318,117706.008,0.000502376002,0.991552024475173
0.183818787,0.999737918,78415.9922,542.27655,6199.36133,79217.5703,136.009567,117845.563,0.000395257928,1
0.184445381,1.0010097,78414.3594,477.334961,5999.79883,78942.4375,102.441696,117903.656,0.00029202216,1
0.185073301,1.00112224,78326.6016,439.124512,5818.3252,78741.7266,81.3437653,117967.781,0.000192009204,1
0.185701311,1.00110602,78240.875,411.815125,5639.41406,78586.7188,74.9722824,118031.703,9.21235769e-05,1
0.186328128,1.00178814,78239.6875,390.158081,5463.62891,78532.6328,76.0103912,118076.906,-3.87401997e-06,1
0.186957672,1.0029484,78299.9297,370.939026,5297.87207,78545.5156,84.3302002,118107.406,-9.3446346e-05,1
0.187590837,1.00402713,78355.6484,352.83252,5138.68164,78560.1406,96.1458359,118146.203,-0.000180444302,1
0.18822062,1.00493252,78392.4063,334.715088,4979.00098,78558.2188,101.426086,118183.469,-0.000266837393,1
0.188849807,1.00593972,78439.8203,319.036926,4820.60156,78573.2109,107.721237,118238.234,-0.000352682575,1
0.18948096,1.00725222,78518.1875,304.038757,4671.16162,78625.375,121.392838,118309.523,-0.000434323039,1
0.190115064,1.00876093,78614.2344,286.888672,4532.08594,78695.0938,138.359863,118379.18,-0.000510964659,1
0.190746441,1.01016879,78702.5625,272.056763,4395.39551,78763.8438,155.312622,118455.188,-0.000585926231,1
0.19137679,1.01121211,78752.8906,256.159424,4255.78418,78791.7188,160.71701,118518.531,-0.00066062971,1
0.192009032,1.01227713,78808.7031,243.339035,4118.41211,78833.6719,168.522125,118591.422,-0.000734503148,1
0.192642257,1.01317954,78844.8984,228.090454,3995.5835,78854.9688,184.036163,118670.07,-0.000803636969,1
0.193274796,1.01390266,78858.8984,209.780258,3881.90967,78848.1953,194.290985,118741.484,-0.00086830603,1
0.193906769,1.01470757,78885.8125,195.940979,3767.23584,78862.6563,202.845734,118823.625,-0.00093241001,1
0.194541112,1.01532495,78894.2031,183.714279,3650.49146,78862.6016,206.812225,118908.047,-0.000996701885,1
0.195174783,1.0159781,78907.6094,172.773773,3535.85449,78869.6875,209.63678,118999.516,-0.00105910737,1
0.195807964,1.01682472,78939.8281,161.631012,3431.11353,78896.6328,215.818802,119106.516,-0.00111645216,1
0.196442083,1.01762962,78964.75,149.217926,3330.12451,78914.5313,215.707062,119213.18,-0.00117056957,1
